Slice,Disposition,Path,Purpose
CBT-S06,CREATE,apps/client-ui/src/a7/a7.a11y.test.tsx,Keyboard/touch/screen-reader/high-zoom/reduced-motion/noncolor parity.
CBT-S06,CREATE,apps/client-ui/src/a7/a7.integration.test.tsx,Launched Session→encounter→A6 Action→combat result/reaction/completion integration.
CBT-S06,MODIFY_BOUNDED,apps/client-ui/src/App.tsx,Route A7 only from fresh authorized launched Session/encounter context; preserve A1-A6 entry contracts.
CBT-S06,REUSE,packages/contracts/src/a5/authorization-projection-port.ts,Authorization-before-aggregation/projection pattern.
CBT-S06,REUSE,packages/contracts/src/a3/notification-summary-port.ts,Inference-safe aggregation pattern.
CBT-S06,REUSE,packages/contracts/src/a6/available-action-projection-port.ts,Authorized available-Action projection remains source/entitlement authority.
CBT-S07,CREATE,packages/contracts/src/a7/combat-event-port.ts,Combat-specific durable role-safe Events; never publish raw hidden command payload.
CBT-S07,CREATE,packages/contracts/src/a7/combat-reconnect-port.ts,Combat checkpoint/event-gap/reaction-window/controller/status/revocation recovery.
CBT-S07,CREATE,packages/contracts/src/a7/combat-history-export-port.ts,Role-safe combat history/export/diagnostic redaction.
CBT-S07,CREATE,schemas/a7/combat-event.schema.json,Durable combat Event transfer schema.
CBT-S07,WRAP,packages/contracts/src/session/authoritative-session-command-handler.ts,Reuse authorization/idempotency/revision logic internally but never expose raw hidden combat payload through its public accepted Event.
CBT-S07,WRAP,packages/contracts/src/session/hidden-information-response-filter.ts,Authorize first but suppress hiddenEventCount and protected combat cardinality from unauthorized projections.
CBT-S07,REUSE,packages/contracts/src/session/ordered-realtime-event-delivery.ts,Duplicate suppression and durable event-gap detection.
CBT-S07,REUSE,packages/contracts/src/session/checkpoint-reconnect-restoration.ts,Trusted checkpoint/replay restoration.
CBT-S07,REUSE,packages/contracts/src/a5/event-projection-port.ts,Existing durable Session Event projection pattern.
CBT-S07,REUSE,packages/contracts/src/a5/operation-status-port.ts,Stable operation/status recovery pattern.
CBT-S07,REUSE,packages/contracts/src/a6/action-history-export-port.ts,Action receipts/history remain A6-owned and compose into combat history.
CBT-S07,REUSE,packages/contracts/src/observability/structured-audit-telemetry.ts,Privacy-bounded structured audit/telemetry foundation.
CBT-S07,REUSE,packages/contracts/src/backup-restore-export.ts,Provider-neutral backup/restore/export foundation.
CBT-S07,REUSE,packages/contracts/src/a5/backup-restore-export-extension.ts,Campaign/Scene/Session-aware portability extension.
CBT-S08,CREATE,fixtures/a7/acceptance/**,24 deterministic source fixtures plus role/privacy/recovery extensions as applicable.
CBT-S08,CREATE,apps/client-ui/src/a7/a7.contract.test.ts,Encounter/participant/controller/order/effect/completion contract coverage.
CBT-S08,CREATE,apps/client-ui/src/a7/a7.targeting-position.test.ts,Target eligibility and semantic position/movement coverage.
CBT-S08,CREATE,apps/client-ui/src/a7/a7.atomicity.test.ts,A6 Action result plus combat coordinator all-or-none coverage.
CBT-S08,CREATE,apps/client-ui/src/a7/a7.reactions.test.ts,Reaction/interrupt slot/concurrency/stale-window coverage.
CBT-S08,CREATE,apps/client-ui/src/a7/a7.authority-privacy.test.ts,"Role authority, hidden target/modifier/topology/count leakage denials."
CBT-S08,CREATE,apps/client-ui/src/a7/a7.recovery.test.ts,Idempotency/status/reconnect/gap/revocation/controller-window recovery.
CBT-S08,CREATE,tools/verify_stage_a_a7.py,Integrated CBT-AC-001..028 plus A6/P9/A1-A6 focused verifier.
CBT-S08,CREATE,.github/workflows/validate-stage-a-a7-full-combat.yml,Focused exact-head A7 CI; no deployment.
CBT-S08,CREATE,docs/evidence/stage-a-a7/**,Package/final evidence only.
CBT-S08,CREATE,receipts/STAGE-A-A7-CLOSURE.json,Completion receipt created only after verified package merge/closure.
CBT-S08,REUSE,packages/contracts/src/authorization/campaign-authorization-policy.ts,Campaign/session authorization foundation.
CBT-S08,REUSE,packages/contracts/src/realtime-session.ts,Session command/event/receipt/checkpoint base types.
