Preset_ID,Preset_Name,Source_Environment_Definition_ID,Primary_Archetype_ID,Secondary_Archetype_IDs,Source_Trait_Notes,Preset_Context_Tags,Deferred_Overlay_Family_Hints,Downstream_Refinement_Tranches,Content_Reference,Minimum_Profile_Complete,Source_Profile_Immutable,Conversion_State
ENVPRESET-D339447208B4,Arctic Tundra and Taiga,ENVDEF-D339447208B4,ARCH-OPEN-COUNTRY,ARCH-FOREST,cold/snow/ice|compound profile split deferred to ENV-09,,OVF-HYDROLOGY|OVF-THERMAL,ENV-09|ENV-12,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-701FFC266DEC,Rocky Highlands and Mountains,ENVDEF-701FFC266DEC,ARCH-HIGHLAND,,rocky substrate|altitude/weather severity,,OVF-PRESSURE|OVF-WEATHER,ENV-11|ENV-12,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-7C39E3F7B7B8,Sandy Desert,ENVDEF-7C39E3F7B7B8,ARCH-OPEN-COUNTRY,,sand/dune substrate|aridity/extreme heat|sandstorm,,OVF-THERMAL|OVF-WEATHER,ENV-11|ENV-12,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-06612C283234,Volcano,ENVDEF-06612C283234,ARCH-HIGHLAND,,volcanic/geothermal activity|lava|toxic gas|eruption severity,,OVF-ATMOSPHERE|OVF-GEOLOGIC,ENV-12,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-5B1F4F1EAFE1,Post-Apocalyptic Radioactive Zone,ENVDEF-5B1F4F1EAFE1,ARCH-OPEN-COUNTRY,,post-apocalyptic state|radiation/toxicity|ruined-civilization context,post_apocalyptic|ruined_civilization,OVF-CONTAMINATION,ENV-12,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-77BDAB9A5BF8,Post-Apocalyptic Overgrown City,ENVDEF-77BDAB9A5BF8,ARCH-URBAN,ARCH-FOREST,post-apocalyptic state|overgrown/reclaimed state|ruined/structural decay,post_apocalyptic,OVF-ECOLOGICAL|OVF-INFRASTRUCTURE,ENV-12,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-0D4B81978C1A,Flooded Suburbs,ENVDEF-0D4B81978C1A,ARCH-SETTLEMENT,ARCH-WETLAND,flooded state|post-apocalyptic state|structural decay,post_apocalyptic,OVF-HYDROLOGY|OVF-INFRASTRUCTURE,ENV-12,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-FF8F0B4B4C46,Underground Bunker Network,ENVDEF-FF8F0B4B4C46,ARCH-CONSTRUCTED-HABITAT,ARCH-SUBTERRANEAN|ARCH-INFRASTRUCTURE,post-apocalyptic/decayed state|systems failure,post_apocalyptic,OVF-INFRASTRUCTURE,ENV-12,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-CE188D232B51,Skeletons of Highways,ENVDEF-CE188D232B51,ARCH-INFRASTRUCTURE,,post-apocalyptic/derelict state|broken transport network,post_apocalyptic,OVF-INFRASTRUCTURE,ENV-10|ENV-12,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-7708CBB27247,Ashland,ENVDEF-7708CBB27247,ARCH-OPEN-COUNTRY,,ash cover|residual heat/fire|toxic airborne particulates,,OVF-ATMOSPHERE|OVF-ECOLOGICAL|OVF-GEOLOGIC|OVF-THERMAL,ENV-12,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-9BC0823DF786,Sewers and Forgotten Catacombs,ENVDEF-9BC0823DF786,ARCH-SUBTERRANEAN,ARCH-INFRASTRUCTURE|ARCH-BUILT-COMPLEX,,,,,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-64200FBCF92E,Ancient Temples,ENVDEF-64200FBCF92E,ARCH-BUILT-COMPLEX,,,,,,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-536D4B0C5312,Caves and Caverns,ENVDEF-536D4B0C5312,ARCH-SUBTERRANEAN,,,,,,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-2B1911EAC380,Bustling Space Station,ENVDEF-2B1911EAC380,ARCH-CONSTRUCTED-HABITAT,ARCH-URBAN,busy/populated state|station technology/gravity configuration,populated,OVF-GRAVITY,ENV-12,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-09A74188F0A7,Abandoned Space Station,ENVDEF-09A74188F0A7,ARCH-CONSTRUCTED-HABITAT,,abandoned/derelict state|systems failure,,OVF-INFRASTRUCTURE,ENV-12,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-29F129444A76,The Void,ENVDEF-29F129444A76,ARCH-SPACE-VOID,,,,,,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-E39FBC0406F8,Asteroid Field,ENVDEF-E39FBC0406F8,ARCH-SPACE-VOID,,dense obstacle/debris field|local gravity fluctuations,,OVF-GRAVITY,ENV-12,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-D69B988CD5E0,Gas Giant Upper Atmosphere,ENVDEF-D69B988CD5E0,ARCH-AERIAL,,gas composition|storm/electrical severity|pressure/depth band,,OVF-ATMOSPHERE|OVF-PRESSURE|OVF-WEATHER,ENV-11|ENV-12,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-E8B22149DA3E,Space Graveyard and Starship Junkyard,ENVDEF-E8B22149DA3E,ARCH-SPACE-VOID,,derelict/debris density|radiation/explosive remnants,,OVF-CONTAMINATION|OVF-INFRASTRUCTURE,ENV-12,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-6A8EE04CD9E9,Floating Megacity,ENVDEF-6A8EE04CD9E9,ARCH-URBAN,ARCH-CONSTRUCTED-HABITAT,spaceborne/suspended configuration|technology/resource scarcity,resource_scarcity|spaceborne_suspended,,,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-49411B4A3073,Black Hole Proximity,ENVDEF-49411B4A3073,ARCH-SPACE-VOID,,extreme gravity|time dilation|spatial distortion,,OVF-GRAVITY|OVF-SUPERNATURAL,ENV-12|ENV-13,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-753CCB6E6A9F,Wormhole Convergence,ENVDEF-753CCB6E6A9F,ARCH-SPACE-VOID,,portal density|temporal/spatial instability|gravity anomaly,,OVF-GRAVITY|OVF-SUPERNATURAL,ENV-12|ENV-13,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-16D74232D666,Nebula,ENVDEF-16D74232D666,ARCH-SPACE-VOID,,gas/dust density|sensor interference|radiation/magnetic effects,,OVF-CONTAMINATION|OVF-LIGHT,ENV-12,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-D685069FA781,Cyberpunk City,ENVDEF-D685069FA781,ARCH-URBAN,,cyberpunk technology/surveillance|corporate control,corporate_control|cyberpunk,,,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-07BE134638DA,Slums and Alleyways,ENVDEF-07BE134638DA,ARCH-URBAN,,poverty/crime density|district condition,poverty_crime,,,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-DFD76B3ECBEF,Marketplace,ENVDEF-DFD76B3ECBEF,ARCH-URBAN,,commercial/crowd configuration,commercial_crowd,,,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-BDCE065F24A7,Bustling Metropolis,ENVDEF-BDCE065F24A7,ARCH-URBAN,,high population/crowd intensity,high_population,,,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-617F39174A2A,Port City,ENVDEF-617F39174A2A,ARCH-URBAN,ARCH-COASTAL,marine port activity|trade/smuggling configuration,port_trade_smuggling,,,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-49714607CDD6,Small Town or Hamlet,ENVDEF-49714607CDD6,ARCH-SETTLEMENT,,rural/permanent configuration,rural_permanent,,,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
ENVPRESET-DF973DEAEF4C,Nomadic Camp,ENVDEF-DF973DEAEF4C,ARCH-SETTLEMENT,,temporary/mobile configuration,temporary_mobile,,,ENV-02_EFFECTIVE_COMPLETENESS_MATRIX_v1.0.0.csv,YES,YES,converted_source_backed_preset
