Environment_Definition_ID,Environment_Name,Has_Overview,Has_Environmental_Features,Has_Movement_Or_Navigation,Has_Hazards,Has_Encounters_Or_Challenges,Has_Rest_Or_Shelter,Has_Random_Encounter_Table,Has_Overview_Source_Matrix,Has_Environmental_Features_Source_Matrix,Has_Movement_Or_Navigation_Source_Matrix,Has_Hazards_Source_Matrix,Has_Encounters_Or_Challenges_Source_Matrix,Has_Rest_Or_Shelter_Source_Matrix,Has_Random_Encounter_Table_Source_Matrix,Minimum_Profile_Complete,Linked_Environmental_Ability_Count,Source_Profile_Page_Count,ENV02_Repair_Note
ENVDEF-77BDAB9A5BF8,Post-Apocalyptic Overgrown City,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,4,3,ENV-02 authored d12 random encounter completion derived from existing profile concepts. ENV-02 authored rest/shelter completion derived from existing profile hazards/locations.
ENVDEF-0D4B81978C1A,Flooded Suburbs,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,4,6,No ENV-02 content repair required.
ENVDEF-FF8F0B4B4C46,Underground Bunker Network,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,5,No ENV-02 content repair required.
ENVDEF-CE188D232B51,Skeletons of Highways,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,6,No ENV-02 content repair required.
ENVDEF-7708CBB27247,Ashland,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,4,7,No ENV-02 content repair required.
ENVDEF-9BC0823DF786,Sewers and Forgotten Catacombs,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,6,No ENV-02 content repair required.
ENVDEF-64200FBCF92E,Ancient Temples,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,5,No ENV-02 content repair required.
ENVDEF-536D4B0C5312,Caves and Caverns,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,7,No ENV-02 content repair required.
ENVDEF-2B1911EAC380,Bustling Space Station,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,5,No ENV-02 content repair required.
ENVDEF-09A74188F0A7,Abandoned Space Station,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,6,No ENV-02 content repair required.
ENVDEF-29F129444A76,The Void,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,6,No ENV-02 content repair required.
ENVDEF-E39FBC0406F8,Asteroid Field,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,5,No ENV-02 content repair required.
ENVDEF-D69B988CD5E0,Gas Giant Upper Atmosphere,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,6,No ENV-02 content repair required.
ENVDEF-E8B22149DA3E,Space Graveyard and Starship Junkyard,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,5,No ENV-02 content repair required.
ENVDEF-6A8EE04CD9E9,Floating Megacity,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,6,No ENV-02 content repair required.
ENVDEF-49411B4A3073,Black Hole Proximity,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,6,No ENV-02 content repair required.
ENVDEF-753CCB6E6A9F,Wormhole Convergence,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,6,No ENV-02 content repair required.
ENVDEF-16D74232D666,Nebula,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,6,No ENV-02 content repair required.
ENVDEF-D685069FA781,Cyberpunk City,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,4,6,No ENV-02 content repair required.
ENVDEF-07BE134638DA,Slums and Alleyways,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,4,6,No ENV-02 content repair required.
ENVDEF-DFD76B3ECBEF,Marketplace,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,4,5,No ENV-02 content repair required.
ENVDEF-BDCE065F24A7,Bustling Metropolis,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,4,4,Source recognition: existing Metropolitan Encounters/Social Traps and Challenges detected. ENV-02 authored d12 random encounter completion derived from existing profile concepts.
ENVDEF-617F39174A2A,Port City,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,4,3,ENV-02 authored d12 random encounter completion derived from existing profile concepts.
ENVDEF-49714607CDD6,Small Town or Hamlet,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,4,4,ENV-02 authored d12 random encounter completion derived from existing profile concepts.
ENVDEF-DF973DEAEF4C,Nomadic Camp,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,4,13,Source recognition: existing Random Camp Encounters (d12) detected.
