Source_Collection,Collection_Record_ID,Member_Record_Count,Preset_ID,Preset_Name,Overlay_ID,Canonical_Link_Count,Reconciliation_State,Inference_Authorized,Authority_Note
"Mangrove Swamp Perks","ABL3-00312","4","ENVPRESET-3202B9AFFBB0","Mangrove Swamp","","4","canonical_links_preserved","NO","Preserve exact canonical links only; remaining source members retain source-supported status."
"Marketplace Perks","ABL3-00216","4","ENVPRESET-DFD76B3ECBEF","Marketplace","","4","canonical_links_preserved","NO","Preserve exact canonical links only; remaining source members retain source-supported status."
"Nomadic Camp Perks","ABL3-00231","4","ENVPRESET-DF973DEAEF4C","Nomadic Camp","","4","canonical_links_preserved","NO","Preserve exact canonical links only; remaining source members retain source-supported status."
"Port City Perks","ABL3-00226","4","ENVPRESET-617F39174A2A","Port City","","4","canonical_links_preserved","NO","Preserve exact canonical links only; remaining source members retain source-supported status."
"Post-Apocalyptic Overgrown City","ABL3-00459","10","ENVPRESET-77BDAB9A5BF8","Post-Apocalyptic Overgrown City","","4","canonical_links_preserved","NO","Preserve exact canonical links only; remaining source members retain source-supported status."
"Post-Apocalyptic Radioactive Zone","ABL3-00448","10","ENVPRESET-5B1F4F1EAFE1","Post-Apocalyptic Radioactive Zone","","0","source_collection_present_not_canonically_promoted","NO","Source collection exists, but promotion package created no canonical links for this profile."
"Rainforest/Jungle Perks","ABL3-00241","4","ENVPRESET-19AC3BF47645","Rainforest or Jungle","","0","source_collection_present_not_canonically_promoted","NO","Source collection exists, but promotion package created no canonical links for this profile."
"Rocky Highlands & Mountains Perks","ABL3-00300","6","ENVPRESET-701FFC266DEC","Rocky Highlands and Mountains","","4","canonical_links_preserved","NO","Preserve exact canonical links only; remaining source members retain source-supported status."
"Sandy Desert Perks","ABL3-00383","6","ENVPRESET-7C39E3F7B7B8","Sandy Desert","","4","canonical_links_preserved","NO","Preserve exact canonical links only; remaining source members retain source-supported status."
"Sewers & Forgotten Catacombs Perks","ABL3-00365","5","ENVPRESET-9BC0823DF786","Sewers and Forgotten Catacombs","","0","source_collection_present_not_canonically_promoted","NO","Source collection exists, but promotion package created no canonical links for this profile."
"Skeleton Highways","ABL3-00273","10","ENVPRESET-CE188D232B51","Skeletons of Highways","","0","source_collection_present_not_canonically_promoted","NO","Source collection exists, but promotion package created no canonical links for this profile."
"Slums and Alleyways Perks","ABL3-00211","4","ENVPRESET-07BE134638DA","Slums and Alleyways","","4","canonical_links_preserved","NO","Preserve exact canonical links only; remaining source members retain source-supported status."
"Small Town or Hamlet Perks","ABL3-00475","4","ENVPRESET-49714607CDD6","Small Town or Hamlet","","4","canonical_links_preserved","NO","Preserve exact canonical links only; remaining source members retain source-supported status."
"Space Graveyard / Starship Junkyard","ABL3-00416","12","ENVPRESET-E8B22149DA3E","Space Graveyard and Starship Junkyard","","0","source_collection_present_not_canonically_promoted","NO","Source collection exists, but promotion package created no canonical links for this profile."
"Special Perks (Applicable to Multiple Environments)","ABL3-00377","5","","","","0","multi_environment_source_collection_not_preset_specific","NO","Ability-system-owned shared source collection; no preset attachment inferred."
"Sunken City Perks","ABL3-00470","4","ENVPRESET-0B08D18F0134","Sunken City","","0","source_collection_present_not_canonically_promoted","NO","Source collection exists, but promotion package created no canonical links for this profile."
"Swamp Perks","ABL3-00307","4","ENVPRESET-BB71C8719980","Swamps","","4","canonical_links_preserved","NO","Preserve exact canonical links only; remaining source members retain source-supported status."
"Temperate Forest Perks","ABL3-00236","4","ENVPRESET-0147CB5991C8","Temperate Forest","","0","source_collection_present_not_canonically_promoted","NO","Source collection exists, but promotion package created no canonical links for this profile."
"The Void (Open Space)","ABL3-00390","12","ENVPRESET-29F129444A76","The Void","","0","source_collection_present_not_canonically_promoted","NO","Source collection exists, but promotion package created no canonical links for this profile."
"Underground Bunker","ABL3-00262","10","ENVPRESET-FF8F0B4B4C46","Underground Bunker Network","","0","source_collection_present_not_canonically_promoted","NO","Source collection exists, but promotion package created no canonical links for this profile."
"Underwater (Lake or Ocean) Perks","ABL3-00322","4","ENVPRESET-8732D6327E25","Underwater","","4","canonical_links_preserved","NO","Preserve exact canonical links only; remaining source members retain source-supported status."
"Underwater Caves Perks","ABL3-00327","4","ENVPRESET-646E783454A9","Underwater Caves","","4","canonical_links_preserved","NO","Preserve exact canonical links only; remaining source members retain source-supported status."
"Volcanic Perks","ABL3-00358","6","ENVPRESET-06612C283234","Volcano","","0","source_collection_present_not_canonically_promoted","NO","Source collection exists, but promotion package created no canonical links for this profile."
