Authority_ID,Source,Source_Item,Classification,Current_Operation,Current_Path_or_Boundary,Rationale
HIST-029,HISTORICAL_70_PATH_PLAN,SOC-S07::packages/contracts/src/social-relations/a9-reconnect-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/social-relations/a9-reconnect-port.ts,Retained A9 requirement.
HIST-030,HISTORICAL_70_PATH_PLAN,SOC-S07::packages/contracts/src/a7/**,REUSE_IMPLEMENTED,REUSE,packages/contracts/src/a7/**,Now implemented; compose authority.
HIST-031,HISTORICAL_70_PATH_PLAN,SOC-S07::packages/contracts/src/shared-assets/**,REUSE_IMPLEMENTED,REUSE,packages/contracts/src/shared-assets/**,Now implemented; compose authority.
HIST-032,HISTORICAL_70_PATH_PLAN,SOC-S08::fixtures/domains/social-relations/a9/social/**,ADOPT_CURRENT,CREATE,fixtures/domains/social-relations/a9/social/**,Retained A9 requirement.
HIST-033,HISTORICAL_70_PATH_PLAN,SOC-S08::tests/golden/domains/social-relations/a9/social/**,ADOPT_CURRENT,CREATE,tests/golden/domains/social-relations/a9/social/**,Retained A9 requirement.
HIST-034,HISTORICAL_70_PATH_PLAN,INV-S01::packages/contracts/src/investigation/investigation-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/investigation/investigation-port.ts,Retained A9 requirement.
HIST-035,HISTORICAL_70_PATH_PLAN,INV-S01::schemas/domains/investigation/a9-*.schema.json,ADOPT_CURRENT,CREATE,schemas/domains/investigation/a9-*.schema.json,Retained A9 requirement.
HIST-036,HISTORICAL_70_PATH_PLAN,INV-S02::packages/contracts/src/investigation/clue-discovery-reveal-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/investigation/clue-discovery-reveal-port.ts,Retained A9 requirement.
HIST-037,HISTORICAL_70_PATH_PLAN,INV-S02::database/migrations/<next>_a9_investigation.json,CONSOLIDATE_CURRENT,CREATE,database/migrations/0007_a9_investigation_social_runtime.json,One exact 0007; D24/D25 stay separate.
HIST-038,HISTORICAL_70_PATH_PLAN,INV-S03::packages/contracts/src/investigation/clue-discovery-reveal-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/investigation/clue-discovery-reveal-port.ts,Retained A9 requirement.
HIST-039,HISTORICAL_70_PATH_PLAN,INV-S03::packages/contracts/src/investigation/private-note-policy-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/investigation/private-note-policy-port.ts,Retained A9 requirement.
HIST-040,HISTORICAL_70_PATH_PLAN,INV-S04::packages/contracts/src/investigation/hypothesis-conclusion-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/investigation/hypothesis-conclusion-port.ts,Retained A9 requirement.
HIST-041,HISTORICAL_70_PATH_PLAN,INV-S04::packages/contracts/src/investigation/connection-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/investigation/connection-port.ts,Retained A9 requirement.
HIST-042,HISTORICAL_70_PATH_PLAN,INV-S05::packages/contracts/src/investigation/investigation-history-export-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/investigation/investigation-history-export-port.ts,Retained A9 requirement.
HIST-043,HISTORICAL_70_PATH_PLAN,INV-S05::packages/contracts/src/visibility-projection/a9-projection-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/visibility-projection/a9-projection-port.ts,D05 placeholder; bounded A9-safe projection.
HIST-044,HISTORICAL_70_PATH_PLAN,INV-S06::apps/client-ui/src/a9/investigation/**,ADOPT_CURRENT,CREATE,apps/client-ui/src/a9/investigation/**,Retained A9 requirement.
HIST-045,HISTORICAL_70_PATH_PLAN,INV-S07::packages/contracts/src/investigation/investigation-reconnect-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/investigation/investigation-reconnect-port.ts,Retained A9 requirement.
HIST-046,HISTORICAL_70_PATH_PLAN,INV-S07::packages/contracts/src/investigation/investigation-pack-lifecycle-port.ts,CONFLICT_REQUIRES_REDESIGN,CREATE,packages/contracts/src/investigation/investigation-source-state-preservation-port.ts,F024 unresolved; source-state preservation only.
HIST-047,HISTORICAL_70_PATH_PLAN,INV-S08::fixtures/domains/investigation/a9/**,ADOPT_CURRENT,CREATE,fixtures/domains/investigation/a9/**,Retained A9 requirement.
HIST-048,HISTORICAL_70_PATH_PLAN,INV-S08::tests/golden/domains/investigation/a9/**,ADOPT_CURRENT,CREATE,tests/golden/domains/investigation/a9/**,Retained A9 requirement.
HIST-049,HISTORICAL_70_PATH_PLAN,GLA-S01::packages/contracts/src/visibility-projection/semantic-node-edge-projection-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/visibility-projection/semantic-node-edge-projection-port.ts,Retained A9 requirement.
HIST-050,HISTORICAL_70_PATH_PLAN,GLA-S02::apps/client-ui/src/a9/shared/SemanticGraphViews.tsx,ADOPT_CURRENT,CREATE,apps/client-ui/src/a9/shared/SemanticGraphViews.tsx,Retained A9 requirement.
HIST-051,HISTORICAL_70_PATH_PLAN,GLA-S03::packages/contracts/src/visibility-projection/semantic-graph-navigation-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/visibility-projection/semantic-graph-navigation-port.ts,Retained A9 requirement.
HIST-052,HISTORICAL_70_PATH_PLAN,GLA-S04::apps/client-ui/src/a9/shared/SemanticGraphEditor.tsx,ADOPT_CURRENT,CREATE,apps/client-ui/src/a9/shared/SemanticGraphEditor.tsx,Retained A9 requirement.
HIST-053,HISTORICAL_70_PATH_PLAN,GLA-S05::apps/client-ui/src/a9/a9.css,ADOPT_CURRENT,CREATE,apps/client-ui/src/a9/a9.css,Retained A9 requirement.
HIST-054,HISTORICAL_70_PATH_PLAN,GLA-S06::packages/contracts/src/visibility-projection/a9-projection-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/visibility-projection/a9-projection-port.ts,D05 placeholder; bounded A9-safe projection.
HIST-055,HISTORICAL_70_PATH_PLAN,GLA-S07::apps/client-ui/src/a9/shared/semanticGraphState.ts,ADOPT_CURRENT,CREATE,apps/client-ui/src/a9/shared/semanticGraphState.ts,Retained A9 requirement.
HIST-056,HISTORICAL_70_PATH_PLAN,GLA-S08::apps/client-ui/src/a9/a9.a11y.test.tsx,ADOPT_CURRENT,CREATE,apps/client-ui/src/a9/a9.a11y.test.tsx,Retained A9 requirement.
HIST-057,HISTORICAL_70_PATH_PLAN,GLA-S08::docs/evidence/stage-a-a9/accessibility/**,ADOPT_CURRENT,CREATE,docs/evidence/stage-a-a9/accessibility/**,Retained A9 requirement.
HIST-058,HISTORICAL_70_PATH_PLAN,NCI-S01::packages/contracts/src/social-relations/a9-cross-domain-adapter-registry.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/social-relations/a9-cross-domain-adapter-registry.ts,Retained A9 requirement.
HIST-059,HISTORICAL_70_PATH_PLAN,NCI-S02::contracts/a9-domain-authority-map.json,ADOPT_CURRENT,CREATE,contracts/a9-domain-authority-map.json,Retained A9 requirement.
HIST-060,HISTORICAL_70_PATH_PLAN,NCI-S03::packages/contracts/src/social-relations/relationship-edge-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/social-relations/relationship-edge-port.ts,Retained A9 requirement.
HIST-061,HISTORICAL_70_PATH_PLAN,NCI-S03::packages/contracts/src/social-relations/faction-standing-influence-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/social-relations/faction-standing-influence-port.ts,Retained A9 requirement.
HIST-062,HISTORICAL_70_PATH_PLAN,NCI-S04::packages/contracts/src/social-relations/social-outcome-coordinator.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/social-relations/social-outcome-coordinator.ts,Retained A9 requirement.
HIST-063,HISTORICAL_70_PATH_PLAN,NCI-S04::packages/contracts/src/investigation/clue-discovery-reveal-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/investigation/clue-discovery-reveal-port.ts,Retained A9 requirement.
HIST-064,HISTORICAL_70_PATH_PLAN,NCI-S05::apps/client-ui/src/a9/shared/**,ADOPT_CURRENT,CREATE,apps/client-ui/src/a9/shared/**,Retained A9 requirement.
HIST-065,HISTORICAL_70_PATH_PLAN,NCI-S06::packages/contracts/src/social-relations/a9-operation-status-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/social-relations/a9-operation-status-port.ts,Retained A9 requirement.
HIST-066,HISTORICAL_70_PATH_PLAN,NCI-S06::packages/contracts/src/session/checkpoint-reconnect-restoration.ts,REUSE_IMPLEMENTED,REUSE,packages/contracts/src/session/checkpoint-reconnect-restoration.ts,Now implemented; compose authority.
HIST-067,HISTORICAL_70_PATH_PLAN,NCI-S07::packages/contracts/src/social-relations/a9-pack-lifecycle-port.ts,CONFLICT_REQUIRES_REDESIGN,CREATE,packages/contracts/src/social-relations/a9-source-state-preservation-port.ts,F024 unresolved; source-state preservation only.
HIST-068,HISTORICAL_70_PATH_PLAN,NCI-S08::tools/verify_stage_a_a9.py,ADOPT_CURRENT,CREATE,tools/verify_stage_a_a9.py,Retained A9 requirement.
HIST-069,HISTORICAL_70_PATH_PLAN,NCI-S08::.github/workflows/validate-stage-a-a9-investigation-social.yml,ADOPT_CURRENT,CREATE,.github/workflows/validate-stage-a-a9-investigation-social.yml,Retained A9 requirement.
HIST-070,HISTORICAL_70_PATH_PLAN,NCI-S08::docs/evidence/stage-a-a9/**,ADOPT_CURRENT,CREATE,docs/evidence/stage-a-a9/**,Retained A9 requirement.
A9O-001,PPIA-09_COMPLETED_VERIFIED,Investigation & Mystery,ADOPT_SUPPLEMENT,BOUNDARY,D24 investigation,"Truth/claim/evidence/hypothesis, safe projection, recovery, AI proposal-only."
A9O-002,PPIA-10_COMPLETED_VERIFIED,Relationship/Social/Faction,ADOPT_SUPPLEMENT,BOUNDARY,D25 social runtime,Directional relations; standing/influence/membership separate; atomic consequences.
A9O-003,PPIA-14_COMPLETED_VERIFIED,Error/Recovery/Permission,ADOPT_SUPPLEMENT,BOUNDARY,A9 recovery/microcopy,Hidden=missing when protected; status unknown != failure; no blind retry.
A9O-004,PPIA-15_COMPLETED_VERIFIED,Alpha regression expansion,ADOPT_SUPPLEMENT,VALIDATION,A9 regression,Use awkward permission/conflict/recovery/a11y/mobile cases; noncanonical.
A9O-005,PPIA-14/PPIA-15,F024 Pack Lifecycle unresolved,PROHIBIT_INVENTION,DEFER,General Pack lifecycle,No invented install/update/remove/migration/conflict semantics.
