Path,Operation,Purpose,Authority_Source
packages/contracts/src/social-relations/a9-reconnect-port.ts,CREATE,Reconnect/revocation/undo/status/pack,SOC-S07
packages/contracts/src/social-relations/a9-source-state-preservation-port.ts,CREATE,Pack lifecycle,REL-S07+NCI-S07
packages/contracts/src/social-relations/bond-leverage-obligation-port.ts,CREATE,Bond human-agreement/profile gates,REL-S05+REL-S06
packages/contracts/src/social-relations/faction-agenda-operation-port.ts,CREATE,Agendas/operations/alert/services,FRO-S05
packages/contracts/src/social-relations/faction-membership-office-port.ts,CREATE,Faction/membership/office runtime,FRO-S02
packages/contracts/src/social-relations/faction-runtime-port.ts,CREATE,Runtime definition binding/profiles/visibility,FRO-S01
packages/contracts/src/social-relations/faction-standing-influence-port.ts,CREATE,Standing/influence/reaction/information-path Events,FRO-S03+NCI-S03
packages/contracts/src/social-relations/relationship-edge-port.ts,CREATE,Directional aggregate/history,REL-S02+NCI-S03
packages/contracts/src/social-relations/relationship-profile-port.ts,CREATE,IDs/types/dimensions/scales,REL-S01
packages/contracts/src/social-relations/relationship-reveal-port.ts,CREATE,Audience reveal/projection,REL-S03
packages/contracts/src/social-relations/social-interaction-port.ts,CREATE,Context/participants/lifecycle,SOC-S02
packages/contracts/src/social-relations/social-outcome-coordinator.ts,CREATE,Atomic Event group and adapters,SOC-S05+NCI-S04
packages/contracts/src/social-relations/social-resolution-port.ts,CREATE,Action/resolution/outcome profile registry,SOC-S01+SOC-S04
packages/contracts/src/social-relations/social-truth-state-port.ts,CREATE,Mood/intent/stance/belief separation,SOC-S02
packages/contracts/src/visibility-projection/a9-projection-port.ts,CREATE,D05 shared filter,REL-S03+INV-S05+GLA-S06
packages/contracts/src/visibility-projection/semantic-graph-navigation-port.ts,CREATE,Keyboard/focus/nonvisual navigation,GLA-S03
packages/contracts/src/visibility-projection/semantic-node-edge-projection-port.ts,CREATE,Shared semantic node/edge projection,GLA-S01
packages/entitlements/src/entitlement-service-port.ts,REUSE,entitlements,CURRENT
receipts/STAGE-A-A9-CLOSURE.json,CREATE,completion-only receipt,REVAL
schemas/domains/investigation/a9-*.schema.json,CREATE,Investigation/clue/hypothesis schemas,INV-S01
schemas/domains/social-relations/a9-*.schema.json,CREATE,D25 schemas,REVAL
tests/golden/domains/investigation/a9/**,CREATE,Investigation golden/observability tests,INV-S08
tests/golden/domains/social-relations/a9/factions/**,CREATE,Faction golden/accessibility tests,FRO-S08
tests/golden/domains/social-relations/a9/relationship/**,CREATE,Relationship golden/accessibility tests,REL-S08
tests/golden/domains/social-relations/a9/social/**,CREATE,Social golden/accessibility tests,SOC-S08
tools/verify_stage_a_a9.py,CREATE,Integrated 144-fixture/168-criteria-ID/domain/privacy/recovery verifier,NCI-S08
