structural_candidate_id,logical_source_id,source_file_id,logical_page,physical_page,heading_text
candidate.02bc45704020ac285d,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,745,745,👑 Greatwyrm Yellow Dragon
candidate.a498c8fec8cf42ea31,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,754,754,👑 Greatwyrm Magenta Dragon
candidate.aeecac285222d85698,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,757,757,"⚫ Gray Chromatic Dragons Domain: Nullification – Magic Suppression, Power Drain, Anti-Reality"
candidate.83812fe599c0cf3bf9,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,758,758,🛡 Elder Gray Dragon
candidate.3836b7ba61dde45d50,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,762,762,Aviform Dragons List
candidate.1886e0e933ed8c8eb6,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,782,782,Demonic Creatures 🩸 Creature Type: Demonic
candidate.79d76e3ce80f7d3101,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,785,785,9. Theocratic Demons (Faith-Eaters)
candidate.3321a8884f3c0b72b3,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,786,786,📜 Rulebook Section: Advanced Demonic Interactions
candidate.07c9853fefb1ee2ef5,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,791,791,✅ Quick Demonic Tools Summary
candidate.79544d8b204da1416e,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,792,792,"Small Demonic (Witchspawn), Chaotic Evil Description:"
candidate.4c5bcf48170272a6f5,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,799,799,🩸 CR 3 Demonic Creatures Sinspawn Scourge 11
candidate.7ac635b66e6dc9b5e4,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,804,804,"Languages: None; creatures hear it in their own thoughts CR: 4 (1,100 XP)"
candidate.4119ac8cffe35aba94,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,811,811,"Chaos Demon Spawn 27 Medium Demonic (Chaos Demon), Chaotic Neutral"
candidate.396cb9f92d057be5b0,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,878,878,Digital Creatures 🧠 DIGITAL CREATURES
candidate.38777c8460fd4d7b34,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,896,896,Creature Type: Digital (Hardlight)
candidate.f4c8223c47b6df07cd,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,904,904,Creature Type: Digital (Patchling)
candidate.5dcaa54141e6cafd79,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,912,912,Creature Type: Digital (Hardlight)
candidate.fbeb7704dd212572f8,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,913,913,Aberrations 🧠 Aberrations (Creature Type)
candidate.fa804d65a625c95eab,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,945,945,⏳ Timeline Fray (Recharge 6) Choose 3 creatures. Each must roll a d4:
candidate.ac791c9bd147e062a9,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,946,946,Plant Creatures 🌿 Plant-Based Creatures in Multiversal
candidate.974ae9dbc2f62d8011,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,960,960,🌿 CR 8 Plant Creatures – Stat Blocks 🐘 Thornstep Leviad
candidate.0353f837ae8a07a641,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,968,968,Toon Creatures 📺 Toon Creature Type
candidate.472349cee29b5edc2f,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,989,989,Toon Creatures List CR 1 TOONS
candidate.e3355e6d1736712ffe,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,1008,1008,Chaos Creatures 🧬 Creature Type: Chaos
candidate.4d894ce5ffde398155,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,1009,1009,Creatures of this type ignore terrain
candidate.554adaf8ddb441d3ca,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,1038,1038,"1. Gravity Inversion: All creatures hover, ranged attacks have disadvantage."
candidate.9c37b404f30b706f25,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,1088,1088,The Fey ✨ Fey Creature Type: Traits & Body Types
candidate.e673373f391c80515d,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,1092,1092,Type: Fey (Beastkin) Size: Small
candidate.fe155b191039f654f9,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,1108,1108,"👑 CR 18 Fey Creature 🪞 Twilight Noble (Humanoidkin, CR 18)"
candidate.9f24c89d566078d2ab,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1-to-1126.8ee6f61873,1123,1123,Incorporeal Creatures ☁️ Incorporeal Creatures Rules
candidate.b4c9eae7c976006bc1,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1151,25,Undead Creatures 🧟‍♂️ Creature Type: Undead
candidate.2f2fa911a97921fb38,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1189,63,Beasts 2 Subterranean Beast List (21)
candidate.0c8f458a799584f265,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1193,67,🦔 Stonejaw Molebeast
candidate.0b3858e09814a77ef8,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1200,74,🐢 Ironhide Ankylobeast
candidate.1bed266ea1e3fcef33,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1202,76,🐦 Skyshriek Gull CR: 1/4 Size: Small Beast Alignment: Unaligned
candidate.c8eee6c14a8e295a6e,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1208,82,🦖 Skymaw Raptor CR: 5 Size: Large Beast Alignment: Unaligned
candidate.5b7a10d0648db0475c,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1235,109,🐆 Grassstalker Panther CR: 6 Size: Large Beast Alignment: Unaligned
candidate.c2e9f6d0e90222831b,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1248,122,Beast Creatures 1 Dinosaurs List (20)
candidate.826d9cdc70262c4fba,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1250,124,🦖 Dilophosaurus CR: 2 Size: Medium Beast Alignment: Unaligned
candidate.255241fdd3bfd08175,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1254,128,🦕 Camarasaurus CR: 5 Size: Huge Beast Alignment: Unaligned
candidate.a1944034cb5e0bc7bc,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1265,139,🕷️ Giant Swamp Spider CR: 2 Size: Large Beast Alignment: Unaligned
candidate.549056a0f66c6f342d,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1281,155,🦎 Sunscale Monitor CR: 2 Size: Large Beast Alignment: Unaligned
candidate.956e36e7e8b03ee58f,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1283,157,🦁 Mirage Lion CR: 4 Size: Large Beast Alignment: Unaligned
candidate.92aab088fe32f19f92,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1301,175,🌊 Wavescour Leviathan CR: 7 Size: Gargantuan Beast Alignment: Unaligned
candidate.14c41cd3120ca83a9a,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1306,180,Mountain Creature List (19)
candidate.fd3f7554658993932e,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1308,182,🦡 Rockhide Marmoth CR: 2 Size: Medium Beast Alignment: Unaligned
candidate.65d5cb0600d78d0fcb,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1310,184,🦌 Snowback Elk CR: 3 Size: Large Beast Alignment: Unaligned
candidate.de11f764a0932d534e,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1312,186,⚡ Thunderhorn Ram CR: 5 Size: Large Beast Alignment: Unaligned
candidate.f5cff9b71306828b8b,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1319,193,Cold Climate Creature List (19)
candidate.88f4ae39d3c5589428,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1325,199,🐅 Tundra Saberfang CR: 4 Size: Large Beast Alignment: Unaligned
candidate.ec91e9b8470182e36d,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1330,204,🐻 Blizzard Bear Alpha CR: 9 Size: Huge Beast Alignment: Unaligned
candidate.cf2f4fc4aa43a01617,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1333,207,Player Creatures Procedure: Converting a Monster into a Playable Species
candidate.dee8855ea64ce33707,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1340,214,Undead-Type Animals
candidate.eb95784b723940c081,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1341,215,Mechanical-Type Animals Stat Block Adjustments:
candidate.543f0ceefe03acd8d6,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1792,666,Pollenspeech Bloom • Grants telepathy (60 ft) with one creature for 10 min
candidate.d969c17398f3ef9b2a,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1878,752,4. WarBeasts Division
candidate.9b537f386d431ae7da,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1887,761,3. Kaiju-Class WarBeasts
candidate.ad255b92dfec73ec4b,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1888,762,Advanced Handlers: Operate larger WarBeasts; trained in biomechanical interfaces and
candidate.f58c6061923a0b3507,src.logical.legacy-corpus-b-2271,src.file.splitpdffile-1137-to-2271.13e0535b00,2166,1030,"18. Elven Mystic - Telepathy: Mystics can communicate mentally with any creature within 30 feet,"
