structural_candidate_id,logical_source_id,source_file_id,logical_page,physical_page,heading_text
candidate.00439a39e91fc80cf4,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1809,683,Items 1 Basic & Misc Items
candidate.90e7f431ddbc7e6572,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1817,691,Offensive Alchemical Items
candidate.1e211bcc6c31090ccb,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1818,692,Defensive & Utility Alchemical Items
candidate.fd2901e5f750388ec8,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1864,738,1. Material Categories
candidate.af700741e7b6003f11,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1867,741,Material Properties:
candidate.4252eb27d80d99ab10,src.logical.legacy-corpus-a-2251,src.file.splitpdffile-1127-to-2251.26d56a9682,1870,744,Exotic Materials
candidate.f722d738b66cc2cde3,src.logical.legacy-corpus-b-2271,src.file.splitpdffile-1137-to-2271.13e0535b00,1973,837,2. Organic Tools and Interfaces
candidate.1f20179321db392ae1,src.logical.legacy-corpus-b-2271,src.file.splitpdffile-1137-to-2271.13e0535b00,2069,933,"2. WarDogs: Focusing on weaponry, defense, and combat, WarDogs also founded the Wardens, a"
candidate.b0a6f9b3d418853491,src.logical.legacy-corpus-b-2271,src.file.splitpdffile-1137-to-2271.13e0535b00,2235,1099,4. Miscellaneous Prohibited Items
candidate.6f46ef4a8658ee23d0,src.logical.legacy-corpus-b-2271,src.file.splitpdffile-1137-to-2271.13e0535b00,2251,1115,3. Randomization Tools
