dataset,source_row,record_id,name,source_pdf,source_page,source_section,reasons
species_elementalist_and_innate_abilities_catalog.csv,1040,ABLREC-01039,Dissolving Strike,Elementalist Trees(3).PDF,50,Elementalist Trees > Acid > Corrosion Mastery > Tier 1,amount-not-specified
species_elementalist_and_innate_abilities_catalog.csv,1131,ABLREC-01130,Corrosive Bite,Elementalist Trees(3).PDF,55,Elementalist Trees > Acid > Biological Decay > Tier 1,amount-not-specified
species_elementalist_and_innate_abilities_catalog.csv,1387,ABLREC-01386,Armor Augmentation,Elementalist Trees(3).PDF,71,Elementalist Trees > Metal > Metallic Defense > Tier 2,amount-not-specified
species_elementalist_and_innate_abilities_catalog.csv,1898,ABLREC-01897,Bestial Claws,Innate Trees(3).PDF,16,Innate Trees > Shapeshifter > Combat Forms > Tier 1 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1899,ABLREC-01898,Reinforced Hide,Innate Trees(3).PDF,16,Innate Trees > Shapeshifter > Combat Forms > Tier 1 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1900,ABLREC-01899,Predator's Bite,Innate Trees(3).PDF,16,Innate Trees > Shapeshifter > Combat Forms > Tier 1 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1901,ABLREC-01900,Enhanced Muscles,Innate Trees(3).PDF,16,Innate Trees > Shapeshifter > Combat Forms > Tier 1 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1902,ABLREC-01901,Rending Talons,Innate Trees(3).PDF,16,Innate Trees > Shapeshifter > Combat Forms > Tier 2 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1903,ABLREC-01902,Thickened Bone Structure,Innate Trees(3).PDF,16,Innate Trees > Shapeshifter > Combat Forms > Tier 2 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1904,ABLREC-01903,Pouncing Strikes,Innate Trees(3).PDF,16,Innate Trees > Shapeshifter > Combat Forms > Tier 2 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1905,ABLREC-01904,Pain Resistance,Innate Trees(3).PDF,16,Innate Trees > Shapeshifter > Combat Forms > Tier 2 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1906,ABLREC-01905,Regenerating Flesh,Innate Trees(3).PDF,16,Innate Trees > Shapeshifter > Combat Forms > Tier 3 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1907,ABLREC-01906,Crushing Jaws,Innate Trees(3).PDF,16,Innate Trees > Shapeshifter > Combat Forms > Tier 3 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1908,ABLREC-01907,Brute Strength Form,Innate Trees(3).PDF,16,Innate Trees > Shapeshifter > Combat Forms > Tier 3 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1909,ABLREC-01908,Pack Hunter's Instinct,Innate Trees(3).PDF,16,Innate Trees > Shapeshifter > Combat Forms > Tier 3 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1910,ABLREC-01909,Razor-Spiked Form,Innate Trees(3).PDF,16,Innate Trees > Shapeshifter > Combat Forms > Tier 4 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1911,ABLREC-01910,Titanic Resilience,Innate Trees(3).PDF,16,Innate Trees > Shapeshifter > Combat Forms > Tier 4 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1912,ABLREC-01911,War Form Mastery,Innate Trees(3).PDF,16,Innate Trees > Shapeshifter > Combat Forms > Tier 4 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1913,ABLREC-01912,Battlefield Predator,Innate Trees(3).PDF,16,Innate Trees > Shapeshifter > Combat Forms > Tier 4 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1914,ABLREC-01913,Ultimate Combat Form,Innate Trees(3).PDF,16,Innate Trees > Shapeshifter > Combat Forms > Tier 5 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1915,ABLREC-01914,Apex Predator's Wrath,Innate Trees(3).PDF,16,Innate Trees > Shapeshifter > Combat Forms > Tier 5 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1916,ABLREC-01915,Unstoppable Berserker,Innate Trees(3).PDF,16,Innate Trees > Shapeshifter > Combat Forms > Tier 5 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1917,ABLREC-01916,Godbeast Evolution,Innate Trees(3).PDF,16,Innate Trees > Shapeshifter > Combat Forms > Tier 5 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1939,ABLREC-01938,Cold Resistance Fur,Innate Trees(3).PDF,19,Innate Trees > Shapeshifter > Environmental Adaptations > Tier 1 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1940,ABLREC-01939,Heat-Resistant Scales,Innate Trees(3).PDF,19,Innate Trees > Shapeshifter > Environmental Adaptations > Tier 1 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1941,ABLREC-01940,Aquatic Lungs,Innate Trees(3).PDF,19,Innate Trees > Shapeshifter > Environmental Adaptations > Tier 1 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1942,ABLREC-01941,Climbing Adaptation,Innate Trees(3).PDF,19,Innate Trees > Shapeshifter > Environmental Adaptations > Tier 1 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1943,ABLREC-01942,Tundra Survivor,Innate Trees(3).PDF,19,Innate Trees > Shapeshifter > Environmental Adaptations > Tier 2 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1944,ABLREC-01943,Gilled Form,Innate Trees(3).PDF,19,Innate Trees > Shapeshifter > Environmental Adaptations > Tier 2 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1945,ABLREC-01944,Toxic Resistance,Innate Trees(3).PDF,19,Innate Trees > Shapeshifter > Environmental Adaptations > Tier 2 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1946,ABLREC-01945,Hurricane Stamina,Innate Trees(3).PDF,19,Innate Trees > Shapeshifter > Environmental Adaptations > Tier 3 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1947,ABLREC-01946,Deep-Sea Morph,Innate Trees(3).PDF,19,Innate Trees > Shapeshifter > Environmental Adaptations > Tier 3 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1948,ABLREC-01947,Camouflaged Survivalist,Innate Trees(3).PDF,19,Innate Trees > Shapeshifter > Environmental Adaptations > Tier 3 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1949,ABLREC-01948,Burrowing Expert,Innate Trees(3).PDF,19,Innate Trees > Shapeshifter > Environmental Adaptations > Tier 3 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1950,ABLREC-01949,Extreme Cold Immunity,Innate Trees(3).PDF,19,Innate Trees > Shapeshifter > Environmental Adaptations > Tier 4 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1951,ABLREC-01950,Extreme Heat Immunity,Innate Trees(3).PDF,19,Innate Trees > Shapeshifter > Environmental Adaptations > Tier 4 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1952,ABLREC-01951,Void Survival,Innate Trees(3).PDF,19,Innate Trees > Shapeshifter > Environmental Adaptations > Tier 4 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1953,ABLREC-01952,Adaptive Cellular Structure,Innate Trees(3).PDF,19,Innate Trees > Shapeshifter > Environmental Adaptations > Tier 4 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1954,ABLREC-01953,Perfect Adaptation,Innate Trees(3).PDF,19,Innate Trees > Shapeshifter > Environmental Adaptations > Tier 5 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1955,ABLREC-01954,Unyielding Survivalist,Innate Trees(3).PDF,19,Innate Trees > Shapeshifter > Environmental Adaptations > Tier 5 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1956,ABLREC-01955,Elemental Resistance Mastery,Innate Trees(3).PDF,19,Innate Trees > Shapeshifter > Environmental Adaptations > Tier 5 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1957,ABLREC-01956,Ultimate Environmental Shifter,Innate Trees(3).PDF,19,Innate Trees > Shapeshifter > Environmental Adaptations > Tier 5 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1979,ABLREC-01978,Shadow Prowler,Innate Trees(3).PDF,22,Innate Trees > Shapeshifter > Utility Transformations > Tier 1 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1980,ABLREC-01979,Gliding Membranes,Innate Trees(3).PDF,22,Innate Trees > Shapeshifter > Utility Transformations > Tier 1 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1981,ABLREC-01980,Amphibious Shift,Innate Trees(3).PDF,22,Innate Trees > Shapeshifter > Utility Transformations > Tier 1 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1982,ABLREC-01981,Burrower's Form,Innate Trees(3).PDF,22,Innate Trees > Shapeshifter > Utility Transformations > Tier 2 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1983,ABLREC-01982,Silent Stalker,Innate Trees(3).PDF,22,Innate Trees > Shapeshifter > Utility Transformations > Tier 2 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1984,ABLREC-01983,Mimic's Gift,Innate Trees(3).PDF,22,Innate Trees > Shapeshifter > Utility Transformations > Tier 2 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1985,ABLREC-01984,Spectral Dissolution,Innate Trees(3).PDF,22,Innate Trees > Shapeshifter > Utility Transformations > Tier 3 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1986,ABLREC-01985,Slippery Escape,Innate Trees(3).PDF,22,Innate Trees > Shapeshifter > Utility Transformations > Tier 3 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1987,ABLREC-01986,Adaptive Anatomy,Innate Trees(3).PDF,22,Innate Trees > Shapeshifter > Utility Transformations > Tier 3 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1988,ABLREC-01987,Tunneling Predator,Innate Trees(3).PDF,22,Innate Trees > Shapeshifter > Utility Transformations > Tier 3 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1989,ABLREC-01988,Multi-Limbed Morph,Innate Trees(3).PDF,22,Innate Trees > Shapeshifter > Utility Transformations > Tier 4 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1990,ABLREC-01989,Ethereal Drift,Innate Trees(3).PDF,22,Innate Trees > Shapeshifter > Utility Transformations > Tier 4 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1991,ABLREC-01990,Perfect Mimicry,Innate Trees(3).PDF,22,Innate Trees > Shapeshifter > Utility Transformations > Tier 4 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1992,ABLREC-01991,Void Adaptation,Innate Trees(3).PDF,22,Innate Trees > Shapeshifter > Utility Transformations > Tier 4 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1993,ABLREC-01992,Unbound Form,Innate Trees(3).PDF,22,Innate Trees > Shapeshifter > Utility Transformations > Tier 5 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1994,ABLREC-01993,Master of Shapes,Innate Trees(3).PDF,22,Innate Trees > Shapeshifter > Utility Transformations > Tier 5 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1995,ABLREC-01994,Reality Shifter,Innate Trees(3).PDF,22,Innate Trees > Shapeshifter > Utility Transformations > Tier 5 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,1996,ABLREC-01995,Supreme Transformation,Innate Trees(3).PDF,22,Innate Trees > Shapeshifter > Utility Transformations > Tier 5 pricing list,no-effect-text
species_elementalist_and_innate_abilities_catalog.csv,2183,ABLREC-02182,Starfire Charge,Innate Trees(3).PDF,32,Innate Trees > Star Child > Star Child Ability Tree > Tier 2,amount-not-specified
