source_file,source_row_number,source_name,source_note_state,current_definition_relation,current_definition_id,provenance_source_id,provenance_source_title,provenance_anchor,resolution_basis,v0_12_taxonomy_status
Weapons_Ammo.csv,26,Laser Assault Rifle,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon_ranged.laser-assault-rifle,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2822: Laser Assault Rifle,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,27,Laser Sniper Rifle,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon_ranged.laser-sniper-rifle,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2822: Laser Sniper Rifle,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,28,Plasma Rifle,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon_ranged.plasma-rifle,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2822: Plasma Rifle,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,29,Plasma Shotgun,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon_ranged.plasma-shotgun,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2822: Plasma Shotgun,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,30,Ion Blaster,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon_ranged.ion-blaster,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2822: Ion Blaster,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,31,Handheld Laser,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon.handheld-laser,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2822: Handheld Laser,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,32,Plasma Pistol,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon.plasma-pistol,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2822: Plasma Pistol,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,33,Rocket Launcher,source_note_present,current_definition_linked,mv.core.item.weapon.rocket-launcher,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2821: Rocket Launcher,source context distinct even when current definition is shared,not_projected
Weapons_Ammo.csv,34,Sonic Rifle,source_note_present,current_definition_linked,mv.core.item.weapon.sonic-rifle,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2822: Sonic Rifle,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,35,Energy Sniper Rifle,source_note_present,source_reference_only_no_current_definition,,,,PPIA-03 explicit ammo-reference-only guardrail,not_projected
Weapons_Ammo.csv,36,Plasma Carbine,source_note_present,source_reference_only_no_current_definition,,,,PPIA-03 explicit ammo-reference-only guardrail,not_projected
Weapons_Ammo.csv,37,Cryo Blaster,source_note_present,source_reference_only_no_current_definition,,,,PPIA-03 explicit ammo-reference-only guardrail,not_projected
