Slice,Disposition,Path,Purpose
F006-S08,REUSE,packages/contracts/src/backup-restore-export.ts,Provider-neutral backup/restore/export foundation.
F006-S09,CREATE,apps/client-ui/src/a6/a6.css,Responsive single-focus mobile/desktop/tablet styling through current tokens.
F006-S09,CREATE,apps/client-ui/src/a6/a6.a11y.test.tsx,Keyboard/touch/screen-reader/high-zoom/reduced-motion/noncolor parity.
F006-S09,CREATE,apps/client-ui/src/a6/a6.integration.test.tsx,Campaign→Character→Scene→proposal→decision→result integrated acceptance.
F006-S09,MODIFY_BOUNDED,apps/client-ui/src/App.tsx,Route A6 only from an authorized launched Session; preserve A1-A5 entry contracts.
F006-S10,CREATE,fixtures/a6/acceptance/**,14 deterministic F006 fixtures plus 40 denials and shared PAC fixtures as applicable.
F006-S10,CREATE,apps/client-ui/src/a6/a6.contract.test.ts,Proposal/receipt/shared-component contract coverage.
F006-S10,CREATE,apps/client-ui/src/a6/a6.authority-privacy.test.ts,28-class authority plus protected-count/queue/rule/target leakage denials.
F006-S10,CREATE,apps/client-ui/src/a6/a6.atomicity.test.ts,Ten-write all-or-none accepted-result coverage.
F006-S10,CREATE,apps/client-ui/src/a6/a6.recovery.test.ts,Idempotency/status/reconnect/gap/revocation coverage.
F006-S10,CREATE,tools/verify_stage_a_a6.py,Integrated FPA-AC-001..020 + PAC/P9/A1-A5 focused verifier.
F006-S10,CREATE,.github/workflows/validate-stage-a-a6-first-playable-action.yml,Focused exact-head A6 CI; no deployment.
F006-S10,CREATE,docs/evidence/stage-a-a6/**,Package/final evidence only.
F006-S10,CREATE,packages/contracts/src/a6/action-result-handoff.ts,Governed A6 final Session/Character/target projection handoff to A7 without combat breadth.
